timestamp,texto_original,texto_traducido,idioma,emocion_predicha,emocion_correcta,confianza,es_correcto
2025-10-27 12:46:02,Estoy muy feliz,I am very happy,es,joy,joy,0.95,True
2025-10-27 12:52:51,Hoy me siento lleno de energía positiva.,Today I feel full of positive energy.,es,joy,joy,0.9498186491602616,True
2025-10-27 12:53:13,Me siento vacío por dentro.,I feel empty inside.,es,sad,sad,0.9574107911718798,True
2025-10-27 12:53:25,¡Estoy cansado de que nadie me escuche!,I'm tired of no one listening to me!,es,anger,anger,0.4622387268504481,True
2025-10-27 12:53:41,Tengo miedo de que algo salga mal.,I'm afraid something will go wrong.,es,fear,fear,0.9164687205991688,True
2025-10-27 12:53:54,Me encanta cómo me haces sentir.,I love how you make me feel.,es,joy,love,0.5803076378278804,False
2025-10-27 12:54:18,¡No puedo creer lo que acabo de escuchar!,I can't believe what I just heard!,es,anger,suprise,0.3699927782792374,False
2025-10-27 12:57:38,¡Qué felicidad ver cómo todo sale bien!,What happiness to see how everything turns out well!,es,joy,joy,0.75412929743631,True
2025-10-27 12:57:49,"No puedo dejar de sonreír, estoy muy contento.","I can't stop smiling, I'm very happy.",es,joy,joy,0.7830309982640953,True
2025-10-27 12:57:59,Ganamos el campeonato y fue increíble.,We won the championship and it was incredible.,es,joy,joy,0.3789669964532928,True
2025-10-27 12:58:11,No puedo dejar de pensar en lo que perdí.,I can't stop thinking about what I lost.,es,sad,sad,0.7811297364020724,True
2025-10-27 12:58:24,Estos días han sido muy difíciles para mí.,These days have been very difficult for me.,es,anger,sad,0.3742481360156313,False
2025-10-27 12:59:49,Todo parece gris últimamente.,Everything seems gray lately.,es,anger,sad,0.4201983322285766,False
2025-10-27 13:00:16,Me duele ver cómo las cosas cambiaron tanto.,It hurts me to see how things have changed so much.,es,anger,sad,0.4337402158432226,False
2025-10-27 13:00:29,No soporto cuando me tratan con tanta falta de respeto.,I can't stand it when they treat me with so much disrespect.,es,anger,anger,0.3492657665760503,True
2025-10-27 13:00:40,Me enoja mucho su actitud arrogante.,His arrogant attitude makes me very angry.,es,anger,anger,0.9655952802275954,True
2025-10-27 13:00:50,Esto es completamente injusto,This is completely unfair,es,joy,anger,0.3666386028472853,False
2025-10-27 13:01:08,Me preocupa no estar listo para lo que viene.,I worry that I'm not ready for what's coming.,es,joy,fear,0.4390331068538732,False
2025-10-27 13:01:19,"No quiero fallar, eso me aterra.","I don't want to fail, that terrifies me.",es,joy,fear,0.3158525325963829,False
2025-10-27 13:01:31,Escuché un ruido extraño y me asusté.,I heard a strange noise and I got scared.,es,fear,fear,0.8534870356993298,True
2025-10-27 13:01:43,Me da pánico hablar frente a tanta gente.,I'm scared to speak in front of so many people.,es,fear,fear,0.8513285623554829,True
2025-10-27 13:01:55,Te amo más de lo que puedo expresar.,I love you more than I can express.,es,joy,love,0.5297710075286162,False
2025-10-27 13:02:05,Cada día contigo es un regalo.,Every day with you is a gift.,es,joy,love,0.4194096196265526,False
2025-10-27 13:02:18,"¡Wow, eso sí que me tomó por sorpresa!","Wow, that really took me by surprise!",es,joy,suprise,0.3287587651407557,False
2025-10-27 13:02:29,Jamás imaginé que algo así pasaría.,I never imagined something like this would happen.,es,anger,suprise,0.399539098933549,False
2025-10-27 13:02:41,¡Qué increíble giro de los acontecimientos!,What an incredible turn of events!,es,joy,suprise,0.3670032092318869,False
2025-10-27 12:00:00,Siento ansiedad por la seguridad y la calidad de sonido del servicio que ofrecen.,I feel anxious about the calidad de sonido of the nevera.,es,fear,fear,0.964112,True
2025-10-27 12:00:00,Estoy inquieto por la posibilidad de que el altavoz tenga problemas en la garantía.,I am uneasy about the garantía of the altavoz.,es,fear,fear,0.925483,True
2025-10-27 12:00:00,Tengo dudas sobre la facilidad de uso del lavadora y no sé si invertir en él.,I have doubts about the facilidad de uso of the lavadora.,es,fear,fear,0.985127,True
2025-10-27 12:00:00,No me inspira confianza la información sobre la rendimiento del altavoz.,It does not inspire confidence in the rendimiento of the altavoz.,es,fear,fear,0.940433,True
2025-10-27 12:00:00,"Temo que, tras un par de usos, la actualizaciones del monitor deje de funcionar.",I fear that the actualizaciones of the monitor.,es,fear,fear,0.923079,True
2025-10-27 12:00:00,Siento ansiedad por la seguridad y la puntualidad del servicio que ofrecen.,I feel anxious about the puntualidad of the tablet.,es,fear,fear,0.954127,True
2025-10-27 12:00:00,No me inspira confianza la información sobre la atención al cliente del hotel.,It does not inspire confidence in the atención al cliente of the hotel.,es,fear,fear,0.937932,True
2025-10-27 12:00:00,Me preocupa la interfaz de este televisor; temo que falle en poco tiempo.,I am concerned about the interfaz of the televisor.,es,fear,fear,0.90271,True
2025-10-27 12:00:00,Me preocupa la entrega de este tablet; temo que falle en poco tiempo.,I am concerned about the entrega of the tablet.,es,fear,fear,0.950266,True
2025-10-27 12:00:00,Me preocupa la relación calidad-precio de este taxi; temo que falle en poco tiempo.,I am concerned about the relación calidad-precio of the taxi.,es,fear,fear,0.935612,True
2025-10-27 12:00:00,Siento ansiedad por la seguridad y la acabado del servicio que ofrecen.,I feel anxious about the acabado of the lavadora.,es,fear,fear,0.979337,True
2025-10-27 12:00:00,Estoy inquieto por la posibilidad de que el compañía de telecomunicaciones tenga problemas en la conectividad.,I am uneasy about the conectividad of the compañía de telecomunicaciones.,es,fear,fear,0.94328,True
2025-10-27 12:00:00,Me da miedo que la calidad de sonido del nevera sea insuficiente para mi familia.,I am afraid that the calidad de sonido of the nevera.,es,fear,fear,0.936297,True
2025-10-27 12:00:00,Siento ansiedad por la seguridad y la compatibilidad del servicio que ofrecen.,I feel anxious about the compatibilidad of the calefactor.,es,fear,fear,0.915314,True
2025-10-27 12:00:00,No me inspira confianza la información sobre la durabilidad del soporte técnico.,It does not inspire confidence in the durabilidad of the soporte técnico.,es,fear,fear,0.917569,True
2025-10-27 12:00:00,"Temo que, tras un par de usos, la estabilidad del soporte técnico deje de funcionar.",I fear that the estabilidad of the soporte técnico.,es,fear,fear,0.912374,True
2025-10-27 12:00:00,No me inspira confianza la información sobre la duración de batería del cafetera.,It does not inspire confidence in the duración de batería of the cafetera.,es,fear,fear,0.982103,True
2025-10-27 12:00:00,Me preocupa la relación calidad-precio de este chaqueta; temo que falle en poco tiempo.,I am concerned about the relación calidad-precio of the chaqueta.,es,fear,fear,0.908835,True
2025-10-27 12:00:00,Tengo dudas sobre la consumo energético del plancha y no sé si invertir en él.,I have doubts about the consumo energético of the plancha.,es,fear,fear,0.908193,True
2025-10-27 12:00:00,Tengo dudas sobre la actualizaciones del smartwatch y no sé si invertir en él.,I have doubts about the actualizaciones of the smartwatch.,es,fear,fear,0.968891,True
2025-10-27 12:00:00,Tengo dudas sobre la puntualidad del auriculares y no sé si invertir en él.,I have doubts about the puntualidad of the auriculares.,es,fear,fear,0.958579,True
2025-10-27 12:00:00,Me preocupa la rendimiento de este microondas; temo que falle en poco tiempo.,I am concerned about the rendimiento of the microondas.,es,fear,fear,0.951828,True
2025-10-27 12:00:00,No me inspira confianza la información sobre la resolución de pantalla del taxi.,It does not inspire confidence in the resolución de pantalla of the taxi.,es,fear,fear,0.975492,True
2025-10-27 12:00:00,Me da miedo que la material del smartwatch sea insuficiente para mi familia.,I am afraid that the material of the smartwatch.,es,fear,fear,0.912181,True
2025-10-27 12:00:00,Estoy inquieto por la posibilidad de que el smartwatch tenga problemas en la diseño.,I am uneasy about the diseño of the smartwatch.,es,fear,fear,0.906414,True
2025-10-27 12:00:00,"Temo que, tras un par de usos, la relación calidad-precio del taxi deje de funcionar.",I fear that the relación calidad-precio of the taxi.,es,fear,fear,0.976782,True
2025-10-27 12:00:00,"Temo que, tras un par de usos, la velocidad del maleta deje de funcionar.",I fear that the velocidad of the maleta.,es,fear,fear,0.982501,True
2025-10-27 12:00:00,Tengo dudas sobre la entrega del app bancaria y no sé si invertir en él.,I have doubts about the entrega of the app bancaria.,es,fear,fear,0.96782,True
2025-10-27 12:00:00,Siento ansiedad por la seguridad y la acabado del servicio que ofrecen.,I feel anxious about the acabado of the monitor.,es,fear,fear,0.981636,True
2025-10-27 12:00:00,"Temo que, tras un par de usos, la garantía del microondas deje de funcionar.",I fear that the garantía of the microondas.,es,fear,fear,0.939812,True
